LPG,CO,Smoke
0.00797488,0.00524845,0.0213361
0.00658108,0.00402444,0.017378
0.00835676,0.00559901,0.0224292
0.00768216,0.00498402,0.0205006
0.00804347,0.00531095,0.0215322
0.00721767,0.00457233,0.0191793
0.00945201,0.00663817,0.0255827
0.00670989,0.00413373,0.0177416
0.00865939,0.00588123,0.0232979
0.00788612,0.00516787,0.0210825
0.00799878,0.0052702,0.0214044
0.00863093,0.00585452,0.0232161
0.00734697,0.00468594,0.0195465
0.00768323,0.00498498,0.0205036
0.00549046,0.00313278,0.0143201
0.00953686,0.00672068,0.0258281
0.00968257,0.00686304,0.0262498
0.00805006,0.00531696,0.021551
0.00765974,0.00496393,0.0204367
0.00641197,0.00388219,0.0169014
0.00761888,0.00492736,0.0203203
0.00927801,0.00646984,0.02508
0.00796117,0.00523597,0.0212969
0.00557039,0.003196,0.0145429
0.00843623,0.00567275,0.0226571
0.00659632,0.00403733,0.017421
0.00687442,0.00427449,0.0182066
0.00776647,0.00505979,0.020741
0.00710135,0.00447077,0.0188493
0.00657653,0.00402059,0.0173651
0.00704499,0.0044218,0.0186896
0.00907716,0.00627703,0.0245004
0.00571833,0.00331393,0.0149558
0.0071255,0.00449181,0.0189178
0.00851763,0.00574855,0.0228907
0.00554124,0.0031729,0.0144616
0.0114839,0.00868852,0.0314975
0.00607612,0.00360394,0.0159575
0.0067304,0.0041512,0.0177995
0.00780095,0.00509087,0.0208394
0.00895943,0.00616477,0.0241612
0.0064875,0.00394555,0.0171142
0.00820107,0.00545533,0.0219831
0.00894503,0.00615108,0.0241197
0.00869099,0.00591092,0.0233887
0.0067826,0.00419578,0.017947
0.00852193,0.00575257,0.022903
0.00737906,0.00471426,0.0196378
0.00678223,0.00419546,0.0179459
0.00761841,0.00492694,0.0203189
0.00642701,0.00389478,0.0169437
0.00680679,0.00421648,0.0180154
0.00602546,0.00356247,0.0158154
0.00746816,0.00479312,0.0198911
0.00954147,0.00672517,0.0258414
0.00610722,0.00362947,0.0160448
0.00861184,0.00583663,0.0231612
0.00887845,0.00608788,0.023928
0.00879407,0.00600805,0.0236851
0.0105607,0.00773807,0.0288004
0.00580577,0.00338418,0.0152002
0.00666555,0.00409601,0.0176163
0.00652787,0.00397953,0.0172279
0.0073009,0.00464537,0.0194157
0.007016,0.00439667,0.0186074
0.0081501,0.00540852,0.0218372
0.00691742,0.0043115,0.0183283
0.00674673,0.00416513,0.0178456
0.00746861,0.00479353,0.0198924
0.00619892,0.00370502,0.0163022
0.00753411,0.00485174,0.0200788
0.00584403,0.00341505,0.0153073
0.0100619,0.00723743,0.0273496
0.00862314,0.00584721,0.0231937
0.00815272,0.00541092,0.0218447
0.00883563,0.00604733,0.0238047
0.00951885,0.00670315,0.025776
0.00989996,0.00707695,0.0268798
0.00804593,0.00531319,0.0215392
0.00583264,0.00340585,0.0152754
0.00742233,0.00475251,0.0197608
0.00941409,0.00660138,0.0254731
0.00798456,0.00525725,0.0213637
0.00628632,0.00377742,0.0165478
0.00713729,0.00450209,0.0189513
0.00881391,0.00602679,0.0237422
0.00663268,0.00406812,0.0175236
0.00562638,0.00324049,0.0146991
0.00637252,0.00384921,0.0167904
0.00756113,0.00487581,0.0201558
0.00808992,0.00535339,0.021665
0.0111274,0.00831791,0.0304542
0.00966719,0.00684798,0.0262053
0.00776276,0.00505646,0.0207304
0.00741986,0.00475033,0.0197538
0.00753539,0.00485287,0.0200825
0.0105464,0.00772361,0.0287588
0.010528,0.00770498,0.0287052
0.00824153,0.00549257,0.022099
0.00704483,0.00442167,0.0186891
0.00748414,0.00480731,0.0199366
0.00744649,0.00477391,0.0198295
0.00838397,0.00562422,0.0225072
0.00656578,0.00401151,0.0173348
0.00698011,0.00436561,0.0185058
0.00745576,0.00478213,0.0198559
0.0071787,0.00453823,0.0190687
0.00659717,0.00403805,0.0174234
0.00767894,0.00498113,0.0204914
0.00845088,0.00568637,0.0226991
0.00773367,0.00503028,0.0206475
0.00901417,0.00621689,0.0243189
0.00575708,0.00334501,0.0150641
0.00753336,0.00485106,0.0200767
0.00949948,0.0066843,0.02572
0.00750995,0.00483024,0.0200101
0.00676564,0.00418128,0.0178991
0.00739379,0.00472727,0.0196796
0.00680044,0.00421104,0.0179974
0.00658099,0.00402436,0.0173777
0.00855346,0.005782,0.0229935
0.00807198,0.00533699,0.0216137
0.00695424,0.00434326,0.0184325
0.00728192,0.00462869,0.0193618
0.00776816,0.00506131,0.0207458
0.00628622,0.00377734,0.0165476
0.00797501,0.00524856,0.0213364
0.00736307,0.00470014,0.0195923
0.00685845,0.00426078,0.0181614
0.00641396,0.00388385,0.016907
0.00614377,0.00365953,0.0161474
0.00638971,0.00386357,0.0168387
0.0077034,0.00500308,0.0205611
0.00693127,0.00432344,0.0183675
0.0120139,0.00924773,0.0330528
0.00785562,0.00514025,0.0209954
0.00778416,0.00507573,0.0207915
0.00789634,0.00517712,0.0211117
0.0084118,0.00565005,0.022587
0.00878887,0.00600313,0.0236702
0.0076273,0.00493489,0.0203442
0.00822402,0.00547644,0.0220488
0.00871734,0.0059357,0.0234644
0.00718714,0.00454561,0.0190927
0.00687046,0.0042711,0.0181954
0.00811683,0.00537802,0.021742
0.00980453,0.00698282,0.0266032
0.00618947,0.00369721,0.0162757
0.00870746,0.0059264,0.023436
0.00907313,0.00627318,0.0244888
0.00818834,0.00544363,0.0219467
0.00802234,0.00529167,0.0214717
0.00640721,0.0038782,0.016888
0.00539467,0.00305747,0.0140534
0.00831787,0.00556302,0.0223177
0.0062948,0.00378446,0.0165717
0.00841241,0.00565061,0.0225887
0.00728772,0.00463378,0.0193782
0.0082923,0.0055394,0.0222444
0.0127066,0.00999282,0.0350924
0.00507907,0.00281301,0.0131769
0.00801404,0.0052841,0.021448
0.00670744,0.00413164,0.0177346
0.00596155,0.00351034,0.0156363
0.00539416,0.00305708,0.014052
0.00740439,0.00473664,0.0197098
0.00744266,0.00477052,0.0198186
0.00485606,0.00264373,0.0125599
0.00783162,0.00511856,0.0209269
0.00962751,0.00680915,0.0260904
0.00890787,0.00611578,0.0240127
0.00768934,0.00499046,0.020521
0.008085,0.00534889,0.0216509
0.00673399,0.00415427,0.0178096
0.00748953,0.0048121,0.019952
0.00754053,0.00485745,0.0200971
0.00771757,0.00501581,0.0206015
0.00857734,0.00580433,0.0230621
0.00828034,0.00552836,0.0222101
0.010441,0.00761715,0.028452
0.00915088,0.00634762,0.0247131
0.00946158,0.00664746,0.0256104
0.00637757,0.00385343,0.0168046
0.00647048,0.00393124,0.0170662
0.00671308,0.00413645,0.0177506
0.00628079,0.00377283,0.0165323
0.00657211,0.00401685,0.0173527
0.00632454,0.0038092,0.0166553
0.00708421,0.00445587,0.0188007
0.00759605,0.00490696,0.0202552
0.00795539,0.00523072,0.0212804
0.0111669,0.00835878,0.0305698
0.0064603,0.00392269,0.0170375
0.00884019,0.00605164,0.0238178
0.00535091,0.00302325,0.0139316
0.00662816,0.00406428,0.0175108
0.00944778,0.00663406,0.0255705
0.00819365,0.00544851,0.0219619
0.00653482,0.00398538,0.0172475
0.0105622,0.00773964,0.0288049
0.00859838,0.00582402,0.0231226
0.0061595,0.00367249,0.0161915
0.0100344,0.0072101,0.0272698
0.00773168,0.00502849,0.0206418
0.00902634,0.0062285,0.0243539
0.0139061,0.0113199,0.0386422
0.00788744,0.00516906,0.0210863
0.00969758,0.00687775,0.0262933
0.00815738,0.0054152,0.021858
0.00827221,0.00552085,0.0221868
0.00679449,0.00420595,0.0179806
0.00814033,0.00539956,0.0218092
0.00706041,0.00443518,0.0187333
0.00729436,0.00463962,0.0193971
0.00942921,0.00661605,0.0255168
0.00737145,0.00470754,0.0196161
0.0110846,0.00827374,0.0303292
0.00991412,0.00709094,0.0269209
0.00923883,0.0064321,0.0249668
0.00686121,0.00426314,0.0181692
0.00597786,0.00352363,0.015682
0.00693123,0.0043234,0.0183674
0.00754017,0.00485713,0.0200961
0.00933045,0.00652044,0.0252314
0.00775604,0.0050504,0.0207112
0.00761746,0.00492609,0.0203162
0.0085096,0.00574106,0.0228676
0.0118342,0.00905701,0.0325249
0.00894069,0.00614696,0.0241072
0.00648772,0.00394573,0.0171148
0.00990075,0.00707773,0.0268821
0.00534877,0.00302158,0.0139257
0.0118756,0.0091009,0.0326466
0.0072212,0.00457542,0.0191893
0.00831202,0.00555761,0.0223009
0.00650917,0.00396378,0.0171752
0.0102374,0.00741254,0.0278596
0.00910198,0.00630077,0.024572
0.00831231,0.00555788,0.0223018
0.00458383,0.00244107,0.0118092
0.00773501,0.00503148,0.0206513
0.0117592,0.00897782,0.0323049
0.00985108,0.00702869,0.0267381
0.00890262,0.0061108,0.0239975
0.00816941,0.00542624,0.0218925
0.0069448,0.00433511,0.0184058
0.00821468,0.00546785,0.0220221
0.00917778,0.00637342,0.0247906
0.00845925,0.00569416,0.0227231
